Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
MSFT,Microsoft Corporation Common Stock,$460.77,1.49,0.324%,3424583540701.00,United States,1986,9932830,Technology,Computer Software: Prepackaged Software
NVDA,NVIDIA Corporation Common Stock,$128.28,5.61,4.573%,3155475307912.00,United States,1999,215748955,Technology,Semiconductors
TSLA,Tesla Inc. Common Stock,$246.39,15.13,6.542%,785786043587.00,United States,2010,166561471,Consumer Discretionary,Auto Manufacturing
GOOG,Alphabet Inc. Class C Capital Stock,$187.39,0.78,0.418%,2315765620000.00,United States,2004,7409106,Technology,Computer Software: Programming Data Processing
GOOGL,Alphabet Inc. Class A Common Stock,$185.82,0.58,0.313%,2296363560000.00,United States,2004,10242126,Technology,Computer Software: Programming Data Processing
AAPL,Apple Inc. Common Stock,$221.55,1.28,0.581%,3397265867100.00,United States,1980,37369801,Technology,Computer Manufacturing
AMD,Advanced Micro Devices Inc. Common Stock,$163.90,-0.41,-0.25%,264913843457.00,United States,,26980906,Technology,Semiconductors
INTC,Intel Corporation Common Stock,$31.23,0.16,0.515%,132946110000.00,United States,,24065673,Technology,Semiconductors
AMZN,Amazon.com Inc. Common Stock,$197.59,-2.41,-1.205%,2056245510930.00,United States,1997,31597926,Consumer Discretionary,Catalog/Specialty Distribution
COIN,Coinbase Global Inc. Class A Common Stock,$224.94,-2.57,-1.13%,55238277589.00,United States,,3241672,Finance,Finance: Consumer Services
RYDE,Ryde Group Ltd. Class A Ordinary Shares,$7.09,-0.15,-2.072%,137420301.00,,2024,138135,Consumer Discretionary,Business Services
SSY,SunLink Health Systems Inc. Common Stock,$0.8409,0.0009,0.107%,5920443.00,United States,1996,5803,Health Care,Hospital/Nursing Management
CRWD,CrowdStrike Holdings Inc. Class A Common Stock,$387.18,2.13,0.553%,94224372208.00,United States,2019,1456774,Technology,Computer Software: Prepackaged Software
MSTR,MicroStrategy Incorporated Common Stock Class A,$1302.09,-18.10,-1.371%,23095731531.00,United States,1998,665940,Technology,Computer Software: Prepackaged Software
