Symbol,Name,Market Cap,Country,Sector
A,Agilent Technologies Inc. Common Stock,39852347968,United States,Industrials
AA,Alcoa Corporation Common Stock ,7714036580,United States,Industrials
AADI,Aadi Bioscience Inc. Common Stock,45291295,United States,Health Care
AAGR,African Agriculture Holdings Inc. Common Stock,7904609,United States,Consumer Staples
AAGRW,African Agriculture Holdings Inc. Warrant,503441,United States,Consumer Staples
AAL,American Airlines Group Inc. Common Stock,7072701143,United States,Consumer Discretionary
AAMC,Altisource Asset Management Corp Com,3933948,United States,Finance
AAME,Atlantic American Corporation Common Stock,35699577,United States,Finance
AAN,Aarons Holdings Company Inc. Common Stock ,309584742,United States,Consumer Discretionary
AAOI,Applied Optoelectronics Inc. Common Stock,532871166,United States,Technology
AAON,AAON Inc. Common Stock,7432146198,United States,Industrials
AAP,Advance Auto Parts Inc.,2313571991,United States,Consumer Discretionary
AAPL,Apple Inc. Common Stock,3.39E+12,United States,Technology
AAT,American Assets Trust Inc. Common Stock,1571260841,United States,Real Estate
AB,AllianceBernstein Holding L.P.  Units,3877576061,United States,Finance
ABAT,American Battery Technology Company Common Stock,61528040,United States,Basic Materials
ABBV,AbbVie Inc. Common Stock,3.44E+11,United States,Health Care
ABCB,Ameris Bancorp Common Stock,4068738089,United States,Finance
ABEO,Abeona Therapeutics Inc. Common Stock,242127479,United States,Health Care
ABG,Asbury Automotive Group Inc Common Stock,4286131052,United States,Consumer Discretionary
ABL,Abacus Life Inc. Class A Common Stock,734569254,United States,Finance
ABLLL,Abacus Life Inc. 9.875% Fixed Rate Senior Notes due 2028,1952879238,United States,Finance
ABLLW,Abacus Life Inc. Warrant,109737480,United States,Finance
ABM,ABM Industries Incorporated Common Stock,3079911254,United States,Finance
ABNB,Airbnb Inc. Class A Common Stock,74402657001,United States,Finance
ABOS,Acumen Pharmaceuticals Inc. Common Stock,148397052,United States,Health Care
ABR,Arbor Realty Trust Common Stock,2534096934,United States,Real Estate
ABSI,Absci Corporation Common Stock,414480619,United States,Health Care
ABT,Abbott Laboratories Common Stock,2.03E+11,United States,Health Care
ABVC,ABVC BioPharma Inc. Common Stock,8533787,United States,Health Care
AC,Associated Capital Group Inc. Common Stock,697674532,United States,Finance
ACA,Arcosa Inc. Common Stock ,4159323755,United States,Industrials
ACAB,Atlantic Coastal Acquisition Corp. II Class A Common Stock,0,United States,Finance
ACABW,Atlantic Coastal Acquisition Corp. II Warrant,0,United States,Finance
ACAC,Acri Capital Acquisition Corporation Class A Common Stock,0,United States,Finance
ACAD,ACADIA Pharmaceuticals Inc. Common Stock,2645723029,United States,Health Care
ACCD,Accolade Inc. Common Stock,312832750,United States,Consumer Discretionary
ACCO,Acco Brands Corporation Common Stock,494316844,United States,Consumer Discretionary
ACDC,ProFrac Holding Corp. Class A Common Stock,935256156,United States,Energy
ACEL,Accel Entertainment Inc. ,930467420,United States,Consumer Discretionary
ACET,Adicet Bio Inc. Common Stock ,117833373,United States,Health Care
ACHC,Acadia Healthcare Company Inc. Common Stock,7160990563,United States,Health Care
ACHR,Archer Aviation Inc. Class A Common Stock,1173326738,United States,Industrials
ACHV,Achieve Life Sciences Inc. Common Shares,146980777,United States,Health Care
ACI,Albertsons Companies Inc. Class A Common Stock,10731347368,United States,Consumer Staples
ACIC,American Coastal Insurance Corporation Common Stock,513713360,United States,Finance
ACIW,ACI Worldwide Inc. Common Stock,4922030797,United States,Technology
ACLS,Axcelis Technologies Inc. Common Stock,3311663608,United States,Technology
ACLX,Arcellx Inc. Common Stock,3999422518,United States,Health Care
ACM,AECOM Common Stock,12846275602,United States,Consumer Discretionary
ACMR,ACM Research Inc. Class A Common Stock,1039514511,United States,Technology
ACNB,ACNB Corporation Common Stock,343021548,United States,Finance
ACNT,Ascent Industries Co. Common Stock,96691238,United States,Industrials
ACON,Aclarion Inc. Common Stock,1624090,United States,Health Care
ACP,abrdn Income Credit Strategies Fund Common Shares,0,United States,Finance
ACR,ACRES Commercial Realty Corp. Common Stock,121798899,United States,Real Estate
ACRE,Ares Commercial Real Estate Corporation Common Stock,382176276,United States,Real Estate
ACRS,Aclaris Therapeutics Inc. Common Stock,84186577,United States,Health Care
ACRV,Acrivon Therapeutics Inc. Common Stock,294235549,United States,Health Care
ACT,Enact Holdings Inc. Common Stock,5469681806,United States,Finance
ACTG,Acacia Research Corporation (Acacia Tech) Common Stock,467749639,United States,Miscellaneous
ACTU,Actuate Therapeutics Inc. Common stock,175880519,United States,Health Care
ACU,Acme United Corporation. Common Stock,155225522,United States,Consumer Discretionary
ACV,Virtus Diversified Income & Convertible Fund Common Shares of Beneficial Interest,217932923,United States,Finance
ACVA,ACV Auctions Inc. Class A Common Stock,3278422202,United States,Consumer Discretionary
ACXP,Acurx Pharmaceuticals Inc. Common Stock,32327747,United States,Health Care
ADBE,Adobe Inc. Common Stock,2.57E+11,United States,Technology
ADC,Agree Realty Corporation Common Stock,7643440742,United States,Real Estate
ADD,Color Star Technology Co. Ltd. Class A Ordinary Shares,15300506,United States,Consumer Discretionary
ADEA,Adeia Inc. Common Stock,1249112948,United States,Technology
ADGM,Adagio Medical Holdings Inc Common Stock,49802006,United States,Health Care
ADI,Analog Devices Inc. Common Stock,1.12E+11,United States,Technology
ADIL,Adial Pharmaceuticals Inc Common Stock,7043719,United States,Health Care
ADM,Archer-Daniels-Midland Company Common Stock,28210379652,United States,Consumer Staples
ADMA,ADMA Biologics Inc Common Stock,3941430605,United States,Health Care
ADN,Advent Technologies Holdings Inc. Class A Common Stock,5141191,United States,Miscellaneous
ADNT,Adient plc Ordinary Shares ,1743798660,United States,Consumer Discretionary
ADNWW,Advent Technologies Holdings Inc. Warrant,25047,United States,Miscellaneous
ADP,Automatic Data Processing Inc. Common Stock,1.13E+11,United States,Technology
ADPT,Adaptive Biotechnologies Corporation Common Stock,647402962,United States,Health Care
ADSK,Autodesk Inc. Common Stock,55680700000,United States,Technology
ADT,ADT Inc. Common Stock,6291613152,United States,Consumer Discretionary
ADTN,ADTRAN Holdings Inc. Common Stock,410422003,United States,Utilities
ADTX,Aditxt Inc. Common Stock,1758196,United States,Health Care
ADUS,Addus HomeCare Corporation Common Stock,2335841779,United States,Health Care
ADV,Advantage Solutions Inc. Class A Common Stock,1163554410,United States,Consumer Discretionary
ADVM,Adverum Biotechnologies Inc. Common Stock,146230348,United States,Health Care
ADVWW,Advantage Solutions Inc. Warrant,6474876,United States,Consumer Discretionary
ADX,Adams Diversified Equity Fund Inc.,0,United States,Finance
AE,Adams Resources & Energy Inc. Common Stock,62523495,United States,Energy
AEE,Ameren Corporation Common Stock,22343232552,United States,Utilities
AEF,abrdn Emerging Markets Equity Income Fund Inc. Common Stock,561473666,United States,Finance
AEFC,Aegon Funding Company LLC 5.10% Subordinated Notes due 2049,0,United States,
AEHR,Aehr Test Systems Common Stock,376516169,United States,Industrials
AEI,Alset Inc. Common Stock (TX),8496309,United States,Finance
AEIS,Advanced Energy Industries Inc. Common Stock,3633516097,United States,Technology
AEMD,Aethlon Medical Inc. Common Stock,5254372,United States,Health Care
AENT,Alliance Entertainment Holding Corporation Class A Common Stock,84035771,United States,Consumer Discretionary
AENTW,Alliance Entertainment Holding Corporation Warrants,2261326,United States,Consumer Discretionary
AEO,American Eagle Outfitters Inc. Common Stock,3670335128,United States,Consumer Discretionary
AEON,AEON Biopharma Inc. Class A Common Stock,30918247,United States,Health Care
AEP,American Electric Power Company Inc. Common Stock,54834965485,United States,Utilities
AERT,Aeries Technology Inc. Class A Ordinary Share,107604000,United States,Consumer Discretionary
AES,The AES Corporation Common Stock,12697108248,United States,Utilities
AESI,Atlas Energy Solutions Inc. Common Stock,2176525908,United States,Industrials
AEVA,Aeva Technologies Inc. Common Stock,136803502,United States,Consumer Discretionary
AEYE,AudioEye Inc. Common Stock,243284296,United States,Technology
AFB,AllianceBernstein National Municipal Income Fund Inc,0,United States,Finance
AFBI,Affinity Bancshares Inc. Common Stock (MD),137418375,United States,Finance
AFCG,AFC Gamma Inc. Common Stock,206464269,United States,Finance
AFG,American Financial Group Inc. Common Stock,11119772602,United States,Finance
AFGB,American Financial Group Inc. 5.875% Subordinated Debentures due 2059,2083331726,United States,Finance
AFGC,American Financial Group Inc. 5.125% Subordinated Debentures due 2059,1844205854,United States,Finance
AFGD,American Financial Group Inc. 5.625% Subordinated Debentures due 2060,2013683170,United States,Finance
AFGE,American Financial Group Inc. 4.500% Subordinated Debentures due 2060,1668007842,United States,Finance
AFJK,Aimei Health Technology Co. Ltd Ordinary Share,0,United States,
AFL,AFLAC Incorporated Common Stock,60124424749,United States,Finance
AFRM,Affirm Holdings Inc. Class A Common Stock,12519336974,United States,Finance
AGAE,Allied Gaming & Entertainment Inc. Common Stock,66907510,United States,Consumer Discretionary
AGCO,AGCO Corporation Common Stock,6639432852,United States,Industrials
AGD,abrdn Global Dynamic Dividend Fund Common Shares of Beneficial Interest,0,United States,Finance
AGEN,Agenus Inc. Common Stock,121665747,United States,Health Care
AGFY,Agrify Corporation Common Stock,3588919,United States,Consumer Staples
AGIO,Agios Pharmaceuticals Inc. Common Stock,2520934590,United States,Health Care
AGL,agilon health inc. Common Stock,1320859907,United States,Health Care
AGM,Federal Agricultural Mortgage Corporation Common Stock,1983634937,United States,Finance
AGNC,AGNC Investment Corp. Common Stock,7965488020,United States,Real Estate
AGNCL,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 7.75% Series G Fixed-Rate Reset Cumulative Redeemable Preferred Stock,19021710585,United States,Real Estate
